"DistTypeID","DistTypeName","OnOffSwitch","Description","IsStandReplacing","IsMultiYear","MultiYearCount"
157,"Deforestation-peat extraction-salvage and burn ",0,"Deforestation-peat extraction-salvage and burn ",1,0,0
158,"Deforestation-peat extraction-salvage and decay",0,"Deforestation-peat extraction-salvage and decay",1,0,0
159,"Deforestation-recreational-salvage and burn ",0,"Deforestation-recreational-salvage and burn ",1,0,0
160,"Deforestation-recreational-salvage and decay",0,"Deforestation-recreational-salvage and decay",1,0,0
161,"Deforestation-urban-salvage and burn ",0,"Deforestation-urban-salvage and burn ",1,0,0
162,"Deforestation-urban-salvage and decay",0,"Deforestation-urban-salvage and decay",1,0,0
163,"Deforestation-urban - flooded-salvage and burn ",0,"Deforestation-urban - flooded-salvage and burn ",1,0,0
164,"Deforestation-urban - flooded-salvage and decay",0,"Deforestation-urban - flooded-salvage and decay",1,0,0
165,"generic 5% mortality",0,"This disturbance type can be used to simulate a 5% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
166,"generic 10% mortality",0,"This disturbance type can be used to simulate a 10% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
167,"generic 15% mortality",0,"This disturbance type can be used to simulate a 15% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
168,"generic 20% mortality",0,"This disturbance type can be used to simulate a 20% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
169,"generic 25% mortality",0,"This disturbance type can be used to simulate a 25% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
170,"generic 30% mortality",0,"This disturbance type can be used to simulate a 30% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
171,"generic 35% mortality",0,"This disturbance type can be used to simulate a 35% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
172,"generic 40% mortality",0,"This disturbance type can be used to simulate a 40% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
173,"generic 45% mortality",0,"This disturbance type can be used to simulate a 45% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
174,"generic 50% mortality",0,"This disturbance type can be used to simulate a 50% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
175,"generic 55% mortality",0,"This disturbance type can be used to simulate a 55% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
176,"generic 60% mortality",0,"This disturbance type can be used to simulate a 60% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
177,"generic 65% mortality",0,"This disturbance type can be used to simulate a 65% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
178,"generic 70% mortality",0,"This disturbance type can be used to simulate a 70% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
179,"generic 75% mortality",0,"This disturbance type can be used to simulate a 75% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
180,"generic 80% mortality",0,"This disturbance type can be used to simulate a 80% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
181,"generic 85% mortality",0,"This disturbance type can be used to simulate a 85% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
182,"generic 90% mortality",0,"This disturbance type can be used to simulate a 90% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
183,"generic 95% mortality",0,"This disturbance type can be used to simulate a 95% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.",0,0,0
