"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
21,3,0.59,0.94,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
22,1,0.84,0.86,9.28,-1.29,0.99,2.02,1.00,0.00,0.00,1.00,-1.85,-4.392e-04,-0.04,-1.06,-1.517e-04,-0.17,-0.55,-6.2e-05,-0.33,0.16,499.74,0.57,0.78,0.08,0.07,0.14,0.08,0.19,0.05
22,2,0.63,0.92,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.51,3.14e-04,-0.05,-0.99,2.441e-04,-0.16,-0.16,8.08e-04,-0.47,0.31,529.19,0.53,0.71,0.10,0.12,0.15,0.10,0.20,0.04
22,3,0.59,0.94,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
23,1,0.57,0.93,3.21,-0.82,0.95,1.94,1.00,0.00,0.00,1.00,-0.90,3.196e-04,-0.21,-0.31,9.67e-05,-0.30,0.13,-7.52e-04,-0.41,0.14,490.40,0.43,0.76,0.12,0.09,0.19,0.09,0.25,0.04
23,2,0.52,0.95,11.99,-1.38,0.99,2.31,1.00,0.00,0.00,1.00,-0.73,8.737e-04,-0.21,-0.82,-5.981e-04,-0.13,-0.02,3.71e-04,-0.47,0.50,496.61,0.47,0.71,0.15,0.14,0.16,0.09,0.20,0.04
23,3,0.57,0.94,15.71,-1.56,0.99,2.04,1.00,0.00,0.00,1.00,-0.87,2.766e-04,-0.10,0.53,-7.332e-04,-0.43,-1.41,-0.01,0.29,0.24,522.75,0.38,0.75,0.13,0.18,0.32,0.05,0.15,1.0e-04
24,1,0.66,0.90,2.32,-1.16,0.99,2.16,1.00,0.00,0.00,1.00,-1.33,-1.316e-04,-0.10,0.41,-1.1519e-03,-0.29,1.18,-1.218e-03,-0.45,3.04,583.78,0.30,0.75,0.06,0.09,0.24,0.08,0.38,0.06
24,2,0.52,0.95,11.99,-1.38,0.99,2.31,1.00,0.00,0.00,1.00,-0.73,8.737e-04,-0.21,-0.82,-5.981e-04,-0.13,-0.02,3.71e-04,-0.47,0.50,496.61,0.47,0.71,0.15,0.14,0.16,0.09,0.20,0.04
24,3,0.57,0.94,15.71,-1.56,0.99,2.04,1.00,0.00,0.00,1.00,-0.87,2.766e-04,-0.10,0.53,-7.332e-04,-0.43,-1.41,-0.01,0.29,0.24,522.75,0.38,0.75,0.13,0.18,0.32,0.05,0.15,1.0e-04
