"DefaultSPUID","DefaultGenusID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
14,8,0.89,0.84,7.77,-1.00,0.96,2.41,0.00,0.00,1.00,1.00,-1.69,-4.413e-04,-0.01,-1.11,-7.713e-04,-0.05,-0.94,-1.812e-03,-0.07,0.24,247.27,0.54,0.66,0.09,0.09,0.16,0.13,0.18,0.10
14,13,1.27,0.82,13.13,-1.12,0.97,2.19,0.00,0.00,1.00,1.00,-1.45,3.892e-04,-0.09,-2.25,-1.1334e-03,0.22,-1.90,-1.735e-03,-0.15,0.28,620.18,0.68,0.71,0.13,0.11,0.10,0.15,0.07,0.01
15,1,1.23,0.80,10.99,-1.01,0.93,2.32,0.00,0.00,1.00,1.00,-1.79,-7.27e-05,-0.02,-1.36,4.806e-04,-0.09,-0.86,-2.87e-04,-0.21,0.24,444.78,0.59,0.70,0.09,0.09,0.13,0.12,0.17,0.07
15,2,1.37,0.77,9.37,-1.04,0.97,2.09,0.00,0.00,1.00,1.00,-2.10,5.903e-04,-0.02,-1.73,9.77e-04,-0.05,-1.44,-1.11e-04,-0.17,0.25,835.86,0.68,0.65,0.08,0.11,0.11,0.18,0.12,0.04
15,3,1.04,0.83,11.93,-0.95,0.88,2.41,0.00,0.00,1.00,1.00,-1.68,2.014e-04,-0.02,-1.56,3.914e-04,-0.01,-1.13,-5.74e-04,-0.14,0.28,411.81,0.61,0.66,0.10,0.11,0.12,0.14,0.15,0.07
15,4,1.13,0.83,4.14,-0.76,0.92,2.03,0.00,0.00,1.00,1.00,-1.38,4.551e-04,-0.10,-1.61,-3.346e-04,0.06,-1.20,3.66e-04,-0.25,2.43,577.77,0.62,0.66,0.12,0.11,0.14,0.16,0.11,0.04
15,6,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.958e-04,-0.06,-1.38,7.411e-04,-0.10,-1.60,-9.91e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
15,7,0.90,0.84,2.36,-0.41,0.68,1.81,0.00,0.00,1.00,1.00,-1.90,-2.236e-04,6.74e-03,-1.50,4.51e-05,0.01,-1.18,4.65e-04,-0.18,0.44,498.37,0.62,0.65,0.09,0.09,0.14,0.16,0.13,0.08
15,8,1.27,0.79,11.71,-1.05,0.95,2.32,0.00,0.00,1.00,1.00,-1.85,-1.829e-04,-0.01,-1.31,9.25e-04,-0.11,-1.22,-1.118e-03,-0.10,0.24,835.86,0.61,0.69,0.09,0.08,0.13,0.18,0.15,0.03
15,9,1.02,0.84,13.01,-1.07,0.95,2.52,0.00,0.00,1.00,1.00,-1.41,1.734e-04,-0.05,-1.57,-8.08e-05,-0.02,-1.91,-1.448e-03,-0.11,0.32,620.18,0.64,0.72,0.14,0.13,0.12,0.12,0.07,0.02
15,10,1.19,0.83,11.60,-1.07,0.95,2.16,0.00,0.00,1.00,1.00,-1.86,-3.583e-04,0.01,-1.43,1.5429e-03,-0.02,-1.93,-1.368e-03,-0.09,0.36,425.88,0.66,0.62,0.10,0.09,0.15,0.25,0.08,0.02
15,11,1.05,0.87,8.20,-0.93,0.94,2.17,0.00,0.00,1.00,1.00,-1.84,-5.793e-04,-0.01,-1.51,1.825e-04,0.05,-1.96,-2.027e-03,-0.14,0.44,509.09,0.66,0.67,0.10,0.07,0.16,0.23,0.07,0.01
15,12,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.828e-04,-0.01,-2.55,-1.0482e-03,0.29,-1.46,-5.91e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
